지역,기준일,전일대비 확진자수, 격리 해제수
서울,2020-12-11,252,7431
검역,2020-12-10,16,1650
제주,2020-12-10,13,74
경남,2020-12-10,16,552
경북,2020-12-10,8,1631
전남,2020-12-10,5,339
전북,2020-12-10,8,275
충남,2020-12-10,20,796
충북,2020-12-10,12,245
강원,2020-12-10,15,538
경기,2020-12-10,215,6808
세종,2020-12-10,1,101
울산,2020-12-10,17,196
대전,2020-12-10,9,476
광주,2020-12-10,5,661
인천,2020-12-10,37,1295
대구,2020-12-10,3,7018
부산,2020-12-10,31,696
서울,2020-12-10,251,7286
검역,2020-12-09,9,1649
제주,2020-12-09,2,71
경남,2020-12-09,31,529
경북,2020-12-09,4,1622
전남,2020-12-09,2,327
